Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re Des Prairies ? Montr?al,0.78,1.06,0.32,0.51,0.65,0.18,0.26,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.18,nd,0.09,nd,0.43,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Des Prairies ? Pierrefonds (Montr?al),nd,1.1,0.49,0.45,0.62,0.36,0.2,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.23,nd,0.07,nd,0.53,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Ch?ne ? Mirabel (DC1),nd,1.38,0.82,0.63,0.17,0.28,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,0.36,0.09,0.88,nd,0.81,nd,nd,nd,nd,nd,nd,nd,nd,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Ch?ne ? Mirabel (DC2),nd,13.1,42.59,28.76,15.91,6.82,1.75,0.36,nd,nd,nd,nd,nd,nd,1.38,nd,3.42,3.54,33.4,nd,64.55,nd,nd,nd,nd,nd,1.79,4.96,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,14.25,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,0.02,nd,nd,nd,nd,nd,7.32,31.76,5.45,0.03
Rivi?re Du Ch?ne ? Mirabel (DC3),1.12,15.06,53.42,40.58,26.98,8.61,1.79,0.43,nd,nd,nd,nd,nd,nd,2.49,0.21,4.86,5.68,42.49,2.02,75.67,nd,nd,nd,nd,nd,1.88,3.88,nd,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,8.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,6.51,32.86,3.85,nd
Rivi?re Du Ch?ne ? Saint-Eustache (DC4),0.67,9.56,18.83,20.15,15.55,3.91,0.77,0.16,nd,nd,nd,nd,nd,nd,1.47,nd,3.12,3.79,24.96,1.14,34.31,nd,nd,nd,nd,nd,0.99,1.2,nd,0.25,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.63,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,1.8,10.22,0.32,nd
Rivi?re Du Ch?ne ? Saint-Eustache (DC5),nd,7.55,14.98,12.93,9.39,2.81,0.8,0.09,nd,nd,nd,nd,nd,nd,0.68,nd,2.23,1.89,16,0.51,24.72,nd,nd,nd,nd,nd,4.93,3.17,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.74,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.01,4.97,nd,nd
Rivi?re Du Ch?ne ? Saint-Eustache (DC6),0.56,7.03,15.7,14.18,5.95,3.48,0.95,0.16,nd,nd,nd,nd,nd,nd,1.03,nd,2.3,2.05,15.66,0.73,22.84,nd,nd,nd,nd,nd,0.73,2.3,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,nd,nd,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,0.1,0.96,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.65,9.11,0.06,nd
Rivi?re Du Gouffre ? Baie-Saint-Paul,nd,nd,0.13,0.43,0.19,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.02,nd,0.16,nd,nd,nd,nd,nd,0.04,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.33,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Loup ? Louiseville,nd,0.61,0.49,0.84,0.18,0.31,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,0.03,nd,0.43,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
