Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
2021_SAD2,nd,1.05,0.79,0.9,0.51,1.1,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.35,0.04,0.46,nd,1.44,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.26,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SAD3,nd,2.23,1.52,1.28,0.92,1.53,0.22,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.5,0.09,0.67,nd,2.64,nd,nd,nd,nd,nd,0.19,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SORAM1,nd,1.53,1.75,2.21,0.87,1.4,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,0.07,0.46,0.02,1.72,nd,nd,nd,nd,nd,0.07,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.62,nd,nd,nd,nd,nd,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SORAM2,nd,2,1.37,1.33,0.97,1.51,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.53,0.08,0.64,0.03,2.16,nd,nd,nd,nd,nd,0.12,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.61,nd,nd,nd,nd,nd,nd,nd,0.4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_SORAM3,nd,2.2,1.58,1.6,1.01,1.56,0.25,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.49,0.07,0.62,0.03,2.21,nd,nd,nd,nd,nd,0.12,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,0.4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SORAV1,nd,1.18,1.26,1.02,0.8,1.11,0.21,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,0.05,0.46,0.02,1.67,nd,nd,nd,nd,nd,nd,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.26,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SORAV2,nd,2.25,1.28,1.37,0.95,1.49,0.24,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.51,0.09,0.55,nd,3.07,nd,nd,nd,nd,nd,0.17,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SORAV3,nd,1.16,1.22,1.5,0.91,1.61,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.5,0.09,0.71,0.03,1.95,nd,nd,nd,nd,nd,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.12,nd,nd,nd,nd,nd,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,0.11,nd,nd,nd,nd,nd,0.02,nd,0.04
2021_STA1,nd,1.25,1.16,0.89,0.88,1.33,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.43,0.06,0.55,nd,2.02,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STA2,nd,1.89,1.25,1.18,0.83,1.34,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.53,0.09,0.54,0.02,1.94,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STA3,nd,1.75,1.14,1.19,0.82,1.15,0.14,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.43,0.07,0.6,nd,1.77,nd,nd,nd,nd,nd,0.45,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STAN1,nd,0.6,0.4,0.54,0.28,0.55,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.41,0.18,0.05,0.15,nd,0.69,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,0.07
2021_STIR1,nd,0.55,0.39,0.57,0.25,0.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.14,0.03,0.13,nd,0.65,nd,nd,nd,nd,nd,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STJO1,nd,0.71,0.21,0.45,0.39,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.2,0.03,0.31,nd,0.98,nd,nd,nd,nd,nd,0.03,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STL1,nd,2.13,1.19,1.51,0.99,2.07,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.49,0.08,0.71,0.02,2.53,nd,nd,nd,nd,nd,0.26,nd,nd,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.47,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_STL1.5,nd,1.99,1.46,1.6,1.01,2.09,0.27,nd,nd,nd,nd,nd,nd,nd,0.04,nd,0.56,0.11,0.75,0.03,2.64,nd,nd,nd,nd,nd,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STL2,nd,2.31,1.39,1.48,0.83,2.01,0.21,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.52,0.11,0.69,0.03,2.64,nd,nd,nd,nd,nd,0.74,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STM1,nd,0.63,nd,0.2,0.24,0.14,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,0.12,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STM2,nd,0.72,0.81,0.85,0.51,1.15,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.39,0.06,0.51,nd,1.39,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STM3,0.69,2.14,1.2,1.42,0.94,1.39,0.31,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.49,0.08,0.65,nd,2.43,nd,nd,nd,nd,nd,0.31,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.36,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_STM4,nd,2.54,1.14,1.59,1.12,2.06,0.32,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.6,0.08,0.73,0.02,2.79,nd,nd,nd,nd,nd,0.12,nd,nd,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TCL1,nd,1.68,1.2,1.27,0.74,1.61,0.19,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.42,0.07,0.54,nd,2.52,nd,nd,nd,nd,nd,0.25,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.33,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TCM1,0.96,0.98,0.45,0.52,0.84,0.36,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.17,nd,0.05,nd,0.3,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TCM1_5,nd,2.97,2.97,3.21,1.66,2.38,0.38,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.99,0.12,0.81,0.03,3.15,nd,nd,nd,nd,nd,0.15,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.41,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd
2021_TCM2,nd,1.89,1.47,1.46,0.87,1.49,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.51,0.1,0.62,0.03,1.93,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd
2021_TCM2_5,nd,1.77,1.23,1.46,1.02,1.86,0.21,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.48,0.09,0.61,nd,nd,nd,nd,nd,nd,nd,0.95,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TCM3,nd,1.52,1.24,1.6,0.88,1.89,0.31,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.56,0.08,0.74,0.03,2.61,nd,nd,nd,nd,nd,0.23,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.44,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_THI_01,nd,4.15,4.2,3.3,2.58,3.06,0.3,nd,nd,nd,nd,nd,nd,nd,0.05,nd,1.09,0.16,0.93,nd,2.78,nd,nd,nd,nd,nd,0.33,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.56,nd,nd,nd,nd,nd,nd,nd,0.39,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_THI_02,nd,2.35,1.93,1.77,1.17,2.43,0.45,0.07,nd,nd,nd,nd,nd,nd,0.09,nd,0.68,0.18,0.97,0.05,3.01,nd,nd,nd,nd,nd,0.19,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.43,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_THI_03,nd,2.59,2.16,2.34,1.19,2.3,0.42,0.03,nd,nd,nd,nd,nd,nd,0.06,nd,0.7,0.15,0.92,0.05,2.79,nd,nd,nd,nd,nd,0.16,0.04,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.51,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_THI_04,nd,2.97,2.23,2.46,1.25,2.65,0.44,0.04,nd,nd,nd,nd,nd,nd,0.07,nd,0.68,0.16,0.97,0.05,2.56,nd,nd,nd,nd,nd,0.18,0.06,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd
2021_THI_05,nd,0.85,0.91,1.2,0.78,1.51,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.49,0.09,0.6,0.03,1.9,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,0.36,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_THI_06,nd,2.28,2.31,3.14,1.2,2.51,0.39,0.07,nd,nd,nd,nd,nd,nd,0.07,nd,0.65,0.17,0.98,0.03,3.07,nd,nd,nd,nd,nd,0.22,0.05,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.46,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd
2021_THI_07,nd,1.67,1.19,1.39,0.86,1.69,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.45,0.09,0.63,0.03,1.67,nd,nd,nd,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_TRA1,nd,0.77,0.86,1.22,0.65,0.67,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.25,0.02,0.25,nd,0.79,nd,nd,nd,nd,nd,0.04,nd,nd,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TRA2,nd,1.29,0.97,1.15,0.73,1.44,0.22,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.46,0.07,0.65,0.03,1.89,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.11,nd,nd,nd,nd,nd,0.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_TRA3,nd,2.19,1.09,1.61,0.95,1.83,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.54,0.1,0.8,0.03,2.61,nd,nd,nd,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.46,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd
2021_IRQ_1,nd,2.95,1.67,1.78,1.24,2.32,0.37,0.04,nd,nd,nd,nd,nd,nd,0.07,nd,0.7,0.16,0.95,0.04,2.93,nd,nd,nd,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.52,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_IRQ2,nd,1.92,1.5,1.48,1.09,2.23,0.4,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.54,0.11,0.75,0.04,3.31,nd,nd,nd,nd,nd,0.23,0.05,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.52,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
