Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
PFAS Portal et al 2023,WGL3-SW,Surface Water,39.85703795,-104.934348,2023,09/07/2023,,,,,ng/L,3.3,3.2,,0.39,0.49,2.9,5.6,,,0,,,,,,,,,,,4.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,WGL2-SW,Surface Water,39.85182,-104.94101,2023,09/07/2023,,,,,ng/L,3,2.7,,0.53,0.54,2.3,4.4,,,0,,,,,,,,,,,3.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,WGL-4-SW,Surface Water,39.85665518,-104.9323359,2023,05/26/2023,,,,,ng/L,5.2,4.4,,0.58,0.8,4.5,7.7,,,0,,,,,,,,,,,7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,EGL-SW,Surface Water,39.853282,-104.936717,2022,09/16/2022,,,,,ng/L,9.8,10,,1.8,1.5,7.5,15,,,0,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,EGL-4-SW,Surface Water,39.853282,-104.936717,2023,05/26/2023,,,,,ng/L,9.1,8.5,,1.5,1.7,6.6,13,,,0,,,,,,,,,,,8.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,EGL-2-SW,Surface Water,39.853282,-104.936717,2023,02/03/2023,,,,,ng/L,11,11,,1.2,2,10,18,,,0,,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,EGL4-SW,Surface Water,39.853282,-104.936717,2023,09/07/2023,,,,,ng/L,8.4,7.8,,1.6,1.5,5.4,13,,,0,,,,,,,,,,,6.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,EGL4-SW,Surface Water,39.855743,-104.938254,2023,11/09/2023,,,,,ng/L,11,8.9,,1.8,1.6,5.7,12,,,0,,,,,,,,,,,9.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP-88-SW,Surface Water,39.855743,-104.938254,2023,11/10/2023,,,,,ng/L,8.3,7,,0.82,1.3,8.1,13,,,0,,,,,,,,,,,11,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP@88-SW,Surface Water,39.85846,-104.928392,2023,09/08/2023,,,,,ng/L,7.4,7.7,,0.88,1.3,8.6,12,,,0,,,,,,,,,,,12,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Dahlia Wells-GW,Surface Water,39.858494,-104.92881,2023,11/09/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,N-Dahlia Wells-SW,Surface Water,39.858494,-104.92781,2023,11/09/2023,,,,,ng/L,61,12,,14,2.8,9.6,17,,,0,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,NDahlia-SW,Surface Water,39.85585484,-105.1814806,2023,09/07/2023,,,,,ng/L,11,10,,1.9,1.9,8.7,17,,,0,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0130020-013,Surface Water,39.870181,-104.918244,2020,04/29/2020,,,,,ng/L,2.6,1.2,,0,0.38,0.69,0.94,,,0,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,E Spratt-SW,Surface Water,39.870181,-104.918244,2023,11/09/2023,,,,,ng/L,15,13,,1.4,2.3,13,17,,,0,,,,,,,,,,,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,ESpratt-SW,Surface Water,39.875493,-104.918371,2023,09/07/2023,,,,,ng/L,11,10,,1.3,1.8,11,16,,,0,,,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,W Spratt-SW,Surface Water,39.875493,-104.918371,2023,11/09/2023,,,,,ng/L,62,12,,11,4.5,9.6,14,,,0,,,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,WSpratt-SW,Surface Water,39.877453,-104.914668,2023,09/07/2023,,,,,ng/L,12,11,,2,2.1,9.3,17,,,0,,,,,,,,,,,9.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Cooley RES-SW,Surface Water,39.88282589,-104.8973324,2023,11/09/2023,,,,,ng/L,11,11,,1.7,2,8.3,14,,,0,,,,,,,,,,,9.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,104-FULTON-SW,Surface Water,39.885324,-104.894143,2022,09/15/2022,,,,,ng/L,15,9.7,,2.8,2.6,8.9,14,,,0,,,,,,,,,,,8.7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,104+Fulton-SW,Surface Water,39.885361,-104.895761,2023,09/07/2023,,,,,ng/L,7.3,8.2,,0.86,1.3,9.4,15,,,0,,,,,,,,,,,14,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,104-Fulton-SW,Surface Water,39.885395,-104.895733,2023,11/10/2023,,,,,ng/L,33,14,,1.2,3,22,16,,,0,,,,,,,,,,,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,104-Fulton-4-SW,Surface Water,39.885395,-104.895733,2023,05/25/2023,,,,,ng/L,7.5,5.6,,0.51,0.97,6,7.6,,,0,,,,,,,,,,,6.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,104-Fulton-2-SW,Surface Water,39.92286,-104.86809,2023,02/03/2023,,,,,ng/L,25,13,,1.5,2.4,19,12,,,0,,,,,,,,,,,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPUS15-23,Surface Water,39.93347161,-105.7852471,2020,04/22/2020,,,,,ng/L,11,12,,1.5,2,12,22,,,0,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Mary's Inlet Fraser River-SW,Surface Water,39.93196414,-105.28143,2022,10/05/2022,,,,,ng/L,1.9,1.1,,0,0.29,0,0,,,0,,,,,,,,,,,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,ELDORADO SW,Surface Water,39.94674024,-105.793997,2022,09/27/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,NE of North Pond Fraser River-SW,Surface Water,39.94576796,-105.1603998,2022,10/05/2022,,,,,ng/L,1.7,1.2,,0,0.44,0,0.84,,,0,,,,,,,,,,,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,WTP-RAW-SW,Surface Water,39.94576796,-105.1603998,2023,10/11/2023,,,,,ng/L,0,0,,0,0.27,0,0,,,0,,,,,,,,,,,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,WTP-RAW-SW,Surface Water,39.94718667,-105.097145,2023,12/04/2023,,,,,ng/L,0,0,,0.48,0.24,0,0,,,0,,,,,,,,,,,0.32,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,RC-DSMF,Surface Water,39.94962613,-105.8213515,2023,07/11/2023,,,,,ng/L,7,10,,2.1,1.8,2.6,12,,,0,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,St. Louis Creek-SW,Surface Water,39.95898437,-105.2033888,2022,10/05/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,MARSHALL-SW,Surface Water,39.95544,-104.857483,2022,09/27/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Hammer-SW,Surface Water,39.955443,-104.857483,2023,11/09/2023,,,,,ng/L,14,17,,1.5,3.4,11,23,,,0,,,,,,,,,,,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Hammer-4-SW,Surface Water,39.955443,-104.857483,2023,05/25/2023,,,,,ng/L,14,14,,1.3,2.8,12,21,,,0,,,,,,,,,,,9.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Hammer-4-SW,Surface Water,39.955443,-104.857483,2023,05/25/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Hammer-2-SW,Surface Water,39.955443,-104.857483,2023,02/03/2023,,,,,ng/L,22,29,,1.3,5,18,30,,,0,,,,,,,,,,,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,HAMMER-SW,Surface Water,39.96117291,-104.8493858,2023,09/07/2023,,,,,ng/L,12,14,,1.7,3.2,11,23,,,0,,,,,,,,,,,8.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP-HAMMER-SW,Surface Water,39.955459,-104.856681,2022,09/15/2022,,,,,ng/L,12,12,,3.3,2.7,9.7,18,,,0,,,,,,,,,,,11,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP@Hammer-SW,Surface Water,39.955472,-104.856639,2023,09/07/2023,,,,,ng/L,8.9,8.8,,1.3,1.6,9.4,15,,,0,,,,,,,,,,,14,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP-Hammer-SW,Surface Water,39.955486,-104.856601,2023,11/09/2023,,,,,ng/L,12,10,,1.6,2,9.1,15,,,0,,,,,,,,,,,17,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP-Hammer-2-SW,Surface Water,39.955486,-104.856601,2023,02/03/2023,,,,,ng/L,11,8.3,,0.94,2.6,9.3,16,,,0,,,,,,,,,,,7.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SP-Hammer-4-SW,Surface Water,39.955443,-104.857483,2023,05/25/2023,,,,,ng/L,5,5.7,,0.6,1.1,4.8,8,,,0,,,,,,,,,,,5.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,HAMMER-SW,Surface Water,39.95746563,-105.1941238,2022,09/15/2022,,,,,ng/L,28,26,,2.2,6.1,18,36,,,0,,,,,,,,,,,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,HB-CRS002-SW,Surface Water,39.96545442,-105.1331844,2022,09/27/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CC2-DSMF,Surface Water,39.96545442,-105.1331844,2023,07/11/2023,,,,,ng/L,3.4,4.9,,0,0.44,1.6,9.3,,,0,,,,,,,,,,,7.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CC1-DSMF,Surface Water,39.98643722,-105.3236497,2023,07/11/2023,,,,,ng/L,1.1,1.8,,0,0,0.96,1.3,,,0,,,,,,,,,,,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0107152-003,Surface Water,39.98093427,-105.1635921,2020,04/24/2020,,,,,ng/L,0,0,,0,0,0.34,0,,,0,,,,,,,,,,,0.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,HARPER-SW,Surface Water,39.986067,-105.220833,2022,09/27/2022,,,,,ng/L,1.3,1.3,,0.88,0.61,0,0.99,,,0,,,,,,,,,,,0.21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,REF SITES-5588,Surface Water,39.99709966,-105.1492487,2020,04/22/2020,,,,,ng/L,0.5,0.74,,0,0,0.47,0,,,0,,,,,,,,,,,0.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,NCWSD-SW,Surface Water,39.98414469,-105.5077773,2022,09/27/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0107152-004,Surface Water,39.99690028,-105.1466601,2020,04/24/2020,,,,,ng/L,0,0,,0,0.25,0.29,0,,,0,,,,,,,,,,,0.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,LR-CRS001-SW,Surface Water,40.008556,-105.441083,2022,09/27/2022,,,,,ng/L,0,0,,0,0,1,0,,,0,,,,,,,,,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Upper-SW,Surface Water,40.01220859,-105.3039711,2022,09/09/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BC-DSFMF,Surface Water,40.031475,-105.341788,2023,07/11/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,4-MILE-SW,Surface Water,40.0156782,-105.3541204,2023,09/01/2023,,,,,ng/L,1.3,1.4,,0,0,0,1.5,,,0,,,,,,,,,,,0.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Kelly-Culvert-SW,Surface Water,40.015802,-105.354124,2022,09/09/2022,,,,,ng/L,12,2.4,,0,0,11,1.1,,,0,,,,,,,,,,,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,KELLY-CULVERT-SW,Surface Water,40.017141,-105.384664,2023,09/01/2023,,,,,ng/L,17,8.2,,0,0,11,5.1,,,0,,,,,,,,,,,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BUMMER-POND-SW,Surface Water,40.017141,-105.384664,2023,09/01/2023,,,,,ng/L,0,0.9,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BUMMER-POND-SW,Surface Water,40.017182,-105.381773,2023,09/01/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Sugar-Culvert-SW,Surface Water,40.017331,-105.365861,2022,09/09/2022,,,,,ng/L,4.2,5.8,,0,0,2.5,3.9,,,0,,,,,,,,,,,5.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SWEENY-SW,Surface Water,40.017459,-105.382212,2023,09/01/2023,,,,,ng/L,33,2.5,,0.91,0.48,1.8,2,,,0,,,,,,,,,,,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BUMMER-N-SW,Surface Water,40.02257941,-105.0962324,2023,09/01/2023,,,,,ng/L,2.9,4,,0,0,2.9,4.9,,,0,,,,,,,,,,,6.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0162255-007,Surface Water,40.031475,-105.341788,2020,04/24/2020,,,,,ng/L,3.7,0.81,,0.86,0.66,0.37,0,,,0,,,,,,,,,,,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,4-MILE-SW,Surface Water,40.03546993,-105.3527631,2022,09/26/2022,,,,,ng/L,0.48,0,,0,0,0,0,,,0,,,,,,,,,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,FC-DSFMF,Surface Water,40.04658344,-106.4282308,2023,07/11/2023,,,,,ng/L,0.85,0.87,,0,0,0,0,,,0,,,,,,,,,,,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Colorado River-SW,Surface Water,40.04761478,-105.3138656,2023,07/31/2023,,,,,ng/L,0,0,,0,0,0,0.59,,,0,,,,,,,,,,,0.42,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,FH-DIS-WW,Surface Water,40.04222502,-105.3208786,2022,09/26/2022,,,,,ng/L,3.8,5,,0,0.25,4.4,5,,,0,,,,,,,,,,,8.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,FH-RAW-SW,Surface Water,40.05563876,-106.3080831,2022,09/26/2022,,,,,ng/L,3.4,4.9,,0,0.26,4.2,5.8,,,0,,,,,,,,,,,8.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CR-DSETF-SW,Surface Water,40.05563876,-106.3080831,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CR2-DSETF,Surface Water,40.05563876,-106.3080831,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0.92,,,0,,,,,,,,,,,0.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CR-DSETF-SW,Surface Water,40.06391681,-105.3042271,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,FCC-DSFMF,Surface Water,40.06783939,-106.434603,2023,07/11/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Jones Res-SW/sheep creek,Surface Water,40.073438,-106.10895,2023,07/31/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COUCUC03-45,Surface Water,40.07514297,-105.4195525,2020,04/24/2020,,,,,ng/L,0.69,1,,0,0.3,0.49,1.1,,,0,,,,,,,,,,,0.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,LHC-DSLHF-SW,Surface Water,40.07514297,-105.4195525,2022,10/10/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,LHC-DSLHF-SW,Surface Water,40.08189,-105.928007,2022,10/10/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COUCUC10C-12161,Surface Water,40.08546709,-105.2182041,2020,04/24/2020,,,,,ng/L,1,1.1,,0,0.43,0.62,1.3,,,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0107152-005,Surface Water,40.09268,-108.81692,2020,04/24/2020,,,,,ng/L,0,0,,0,0,0.3,0,,,0,,,,,,,,,,,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COLCWH21-11702,Surface Water,40.11605765,-105.2581787,2020,04/30/2020,,,,,ng/L,0,0,,0,0,0.32,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,LHC-DSCF,Surface Water,40.14428393,-105.8686865,2023,07/11/2023,,,,,ng/L,0,1.3,,0,0,0,0,,,0,,,,,,,,,,,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Out-LG-DSETF-SW,Surface Water,40.14428393,-105.8686865,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Out-LG-DSETF-SW,Surface Water,40.15467957,-105.0880507,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,SVC-DSCF,Surface Water,40.17534472,-105.2581266,2023,07/11/2023,,,,,ng/L,0,1.5,,0,0,0.62,1.6,,,0,,,,,,,,,,,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,LD-DSCF,Surface Water,40.17768308,-105.3430007,2023,07/11/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CG-DSCF-SW,Surface Water,40.17768308,-105.3430007,2022,10/10/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CG-DSCF-SW,Surface Water,40.20028125,-105.8347077,2022,10/10/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Out-GL-DSETF-SW,Surface Water,40.20028125,-105.8347077,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,Out-GL-DSETF-SW,Surface Water,40.258056,-104.879167,2022,10/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPSV03-29,Surface Water,40.2761157,-105.3583761,2020,04/23/2020,,,,,ng/L,3.9,5.4,,0,0.58,3,11,,,0,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,RESERVOIR-SW,Surface Water,40.2923303,-105.3465962,2023,06/27/2023,,,,,ng/L,0,1.3,,0,0,17,1.4,,,0,,,,,,,,,,,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,RIVER INLET-SW,Surface Water,40.31617785,-105.21393,2023,06/27/2023,,,,,ng/L,0,0,,0,0,0.78,0,,,0,,,,,,,,,,,0.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,N-Plant-SW,Surface Water,40.351333,-104.774367,2022,09/07/2022,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPBT05-28,Surface Water,40.36261683,-105.5435088,2020,04/23/2020,,,,,ng/L,3.9,2.9,,0,0.47,2.5,7.1,,,0,,,,,,,,,,,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BTR-DSETF,Surface Water,40.412222,-104.562778,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPMS01B-22,Surface Water,40.41468711,-105.1660679,2020,04/23/2020,,,,,ng/L,12,10,,0.96,1.3,7.3,35,,,0,,,,,,,,,,,8.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BTR-DSCPF,Surface Water,40.417778,-104.639444,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0.61,,,0,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPCP12-27,Surface Water,40.41302277,-105.0501292,2020,04/23/2020,,,,,ng/L,11,13,,1.7,1.7,3.1,100,,,0,,,,,,,,,,,5.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0162321-005,Surface Water,40.43636506,-105.3453474,2020,04/22/2020,,,,,ng/L,1,1.5,,0,0.37,0.66,1.4,,,0,,,,,,,,,,,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,NFBTR-DSCPF,Surface Water,40.46906914,-105.2027781,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,BC-DSCPF,Surface Water,40.47775,-107.01318,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COUCYA02C-38,Surface Water,40.6535725,-105.2015537,2020,05/01/2020,,,,,ng/L,0,0,,0,0,0.32,0,,,0,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CO0162321-008,Surface Water,40.664444,-105.223889,2020,04/24/2020,,,,,ng/L,0.51,0,,0,0,0.28,0,,,0,,,,,,,,,,,0.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,COSPCP10A-26,Surface Water,40.68368963,-105.4455036,2020,04/22/2020,,,,,ng/L,0,0,,0,0,0.38,0,,,0,,,,,,,,,,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS Portal et al 2023,CLPR-DSCPF,Surface Water,40.741015,-106.281965,2023,08/23/2023,,,,,ng/L,0,0,,0,0,0,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
