Sample_ID,Florida_County_Name,Latitude,Longitude,
BRE_1764_075,Brevard_County,28.2717975,-80.688244,
BRE_1765_076,Brevard_County,28.3548635,-80.7222782,
BRE_2429_083,Brevard_County,28.22861,-80.76055,
BRE_2430_084,Brevard_County,28.1475,-80.73416,
BRE_2431_085,Brevard_County,28.32888,-80.77944,
BRE_2432_086,Brevard_County,28.60555,-80.96194,
BRE_2433_087,Brevard_County,28.770556,-80.845833,
BRE_2434_088,Brevard_County,28.756111,-80.766111,
BRE_2435_089,Brevard_County,28.625556,-80.791667,
BRE_2436_090,Brevard_County,28.578889,-80.799444,
BRE_2437_091,Brevard_County,28.677778,-80.826389,
BRE_2438_092,Brevard_County,28.586389,-80.8575,
BRE_2482_093,Brevard_County,27.884203,-80.503084,
BRE_2483_094,Brevard_County,27.863092,-80.532347,
BRE_2484_095,Brevard_County,27.827292,-80.559117,
BRE_2573_096,Brevard_County,28.54334,-80.86017,
BRE_2574_097,Brevard_County,28.35855,-80.67843,
BRE_2625_100,Brevard_County,28.70582,-80.72024,
BRO_0346_001,Broward_County,26.31138889,-80.15444444,
BRO_0395_002,Broward_County,26.0425,-80.1194,
BRO_0396_003,Broward_County,26.071,-80.334,
BRO_0397_004,Broward_County,26.0622,-80.4377,
BRO_0398_005,Broward_County,26.1304,-80.3614,
BRO_0399_006,Broward_County,26.1052,-80.4176,
BRO_0400_007,Broward_County,26.0686,-80.169,
BRO_0401_008,Broward_County,26.1034,-80.2649,
BRO_0419_009,Broward_County,26.0803,-80.2336,
BRO_0425_010,Broward_County,26.3069,-80.118,
BRO_0426_011,Broward_County,26.3179,-80.1548,
BRO_0700_012,Broward_County,26.314729,-80.074917,
BRO_0701_013,Broward_County,26.313183,-80.081884,
BRO_0738_014,Broward_County,26.317537,-80.117888,
BRO_0739_015,Broward_County,26.300691,-80.079786,
BRO_0740_016,Broward_County,26.31634,-80.075105,
BRO_0750_017,Broward_County,26.01555556,-80.35027778,
BRO_0752_019,Broward_County,26.06444444,-80.16388889,
BRO_0753_020,Broward_County,26.01416667,-80.29916667,
BRO_0754_021,Broward_County,26.14694444,-80.57416667,
BRO_0922_022,Broward_County,26.117,-80.12861111,
