Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,,,,,,,,,,,,,,,,,,,,,,,,,
,IGB,Sediment or Soil,33.2108279,-81.6747331,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.12,,0.06,0.03,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.20,,,,,,,,,0.09,,,0.22,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LL-2,Sediment or Soil,33.1858034,-81.6356433,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.42,,0.41,0.15,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,1.24,,,,,,,,,0.14,,,0.50,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP,Sediment or Soil,33.2386457,-81.5217659,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.11,,0.08,0.04,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.39,,,,,,,,,0.05,,,0.21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MB,Sediment or Soil,33.1842545,-81.5815142,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.03,,,,,,,,,0.02,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB-1,Sediment or Soil,33.2906954,-81.6474595,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.05,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.17,,,,,,,,,1.14,,,1.35,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB-2,Sediment or Soil,33.295505,-81.6450056,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.02,,0.03,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.08,,,,,,,,,0.09,,,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIB-1,Sediment or Soil,33.3430706,-81.7233814,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.04,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.10,,,,,,,,,0.37,,,0.46,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIB-2,Sediment or Soil,33.3183768,-81.7151761,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.02,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.09,,,,,,,,,0.02,,,0.09,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MQ-1,Sediment or Soil,33.2887923,-81.6339172,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.04,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.07,,,,,,,,,0.06,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MQ-2,Sediment or Soil,33.2974443,-81.6354713,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.18,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.37,,,,,,,,,1.18,,,0.68,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
