Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,SAR_2005_078,Surface Water,27.13269444,-82.43430556,,,EPA 1633,5.7,4.4,0,0,1.8,0,4.1,3.5,,,0,,,,,,,,,0,6.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2006_079,Surface Water,27.10344444,-82.4445,,,EPA 1633,0,2.5,0,0,0,0,2.2,0,,,0,,,,,,,,,0,4.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2007_080,Surface Water,27.11380556,-82.46427778,,,EPA 1633,0,0,0,0,0,0,1.5,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2008_081,Surface Water,27.11366667,-82.46905556,,,EPA 1633,0,2.3,0,0,0,0,1.4,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2009_082,Surface Water,27.14058333,-82.43433333,,,EPA 1633,4.4,3.1,0,0,1.5,0,2.5,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2010_083,Surface Water,27.10194444,-82.44138889,,,EPA 1633,0,2.2,0,0,0,0,1.8,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2011_084,Surface Water,27.07319444,-82.41180556,,,EPA 1633,12.3,14.2,4.9,2.9,2.3,13.5,13.2,8.8,,,0,,,,,,,,,0,16.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2012_085,Surface Water,27.13822222,-82.36111111,,,EPA 1633,3.8,4.2,0,0,1.4,0,3.9,4.4,,,0,,,,,,,,,0,8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2013_086,Surface Water,27.15916667,-82.42236111,,,EPA 1633,4.4,6.5,0,0,1.6,0,6,5,,,0,,,,,,,,,0,7.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2014_087,Surface Water,27.05727778,-82.39741667,,,EPA 1633,9,10.9,5,2.6,2.1,10.9,10.9,6.8,,,0,,,,,,,,,0,15.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2015_088,Surface Water,27.05186111,-82.43758333,,,EPA 1633,4.1,2.7,0,0,0,0,2.4,0,,,0,,,,,,,,,0,4.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2244_098,Surface Water,27.3012,-82.2537,,,EPA 1633,0,2.8,0,0,0,0,0,0,,,0,,,,,,,,,0,3.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2245_099,Surface Water,27.2412,-82.3138,,,EPA 1633,0,2.4,0,0,0,0,0,0,,,0,,,,,,,,,0,2.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2246_100,Surface Water,27.1011,-82.3331,,,EPA 1633,0,2.3,0,0,0,0,0,0,,,0,,,,,,,,,0,4.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2247_101,Surface Water,27.033,-82.25,,,EPA 1633,0,2.7,0,0,1.5,0,3.7,0,,,0,,,,,,,,,0,3.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2248_102,Surface Water,27.0455,-82.2939,,,EPA 1633,0,2.3,0,0,0,0,0,0,,,0,,,,,,,,,0,2.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
