Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,7/2/2020,,Undisclosed,31.2,24.9,,,2.8,2.53,14,6.86,0,,,,,,,,,,16.4,,5.82,8.02,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,10/30/2019,,Undisclosed,6.87,15.1,,,0,0,10.2,4.17,0,,,,,,,,,,9.84,,4.08,4.51,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,7/31/2018,,Undisclosed,10.1,20.7,,,2.18,3.12,12.2,6.2,0,,,,,,,,,,13.7,,5.76,8.06,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,7/31/2018,,Undisclosed,9.66,21.7,,,0,2.85,12,5.88,0,,,,,,,,,,14.2,,6.04,8.52,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,11/30/2018,,Undisclosed,0,2.1,,0,0,0.39,0.73,0.69,0,0,,0,,,,,,,0,0,0.6,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,11/2/2018,,Undisclosed,2.4,2.8,,0,0,0,1.3,0.8,0,0,,0,,,,,,,0,0,0,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,10/2/2018,,Undisclosed,1.4,,,0,0.36,0.64,1.6,1,0,0,,0,,,,,,,0,0,0.66,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,8/28/2018,,Undisclosed,2.1,3.3,,0,0.58,0.83,1.9,1.3,0,0,,0,,,,,,,2.6,0,0.9,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0.56,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,6/5/2018,,Undisclosed,1.6,3.5,,0,0,0.96,2.3,1.1,0,,,,,,,,,,2.4,,1.3,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,5/24/2018,,Undisclosed,0.93,2.6,,0,0,0.55,1.3,0.7,0,,,,,,,,,,0,,0.72,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
