Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,LSPM2,Surface Water,46.204067,-72.824783,2020,,,Unnamed_SPE_LCMS_MS,,,2.52,1.83,0.06,0.00,0.33,0.93,1.55,1.16,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.39,0.12,0.73,0.80,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM3,Surface Water,46.183033,-72.799467,2020,,,Unnamed_SPE_LCMS_MS,,,2.30,1.73,0.04,0.00,0.23,0.90,1.31,1.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.73,0.10,0.72,0.64,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,MASS1,Surface Water,47.2516,-70.544167,2020,,,Unnamed_SPE_LCMS_MS,,,1.08,0.00,0.00,0.00,0.00,0.48,0.60,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.06,0.07,0.31,1.35,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,MASS2,Surface Water,47.221844,-70.452017,2020,,,Unnamed_SPE_LCMS_MS,,,1.70,1.20,0.06,0.00,0.15,0.61,1.05,0.87,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.94,0.08,0.37,0.97,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,MASS3,Surface Water,47.170421,-70.355877,2020,,,Unnamed_SPE_LCMS_MS,,,2.16,1.68,0.05,0.00,0.18,0.61,1.62,0.95,0.02,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,,1.13,0.10,0.41,1.53,0.00,0.00,,,,,,,0.06,0.00,0.00,,0.00,0.08,,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL1,Surface Water,47.058254,-70.75197,2020,,,Unnamed_SPE_LCMS_MS,,,2.08,1.30,0.00,0.00,0.11,0.69,1.21,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.59,0.09,0.44,1.91,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL2,Surface Water,47.013333,-70.698767,2020,,,Unnamed_SPE_LCMS_MS,,,2.53,1.92,0.18,0.00,0.33,0.81,1.54,0.99,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.42,0.11,0.59,1.78,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.10,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL3,Surface Water,46.98877,-70.661748,2020,,,Unnamed_SPE_LCMS_MS,,,2.05,1.82,0.04,0.00,0.33,0.76,1.26,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.28,0.10,0.57,1.21,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC1,Surface Water,46.843411,-71.179714,2020,,,Unnamed_SPE_LCMS_MS,,,1.81,1.26,0.07,0.00,0.20,0.65,0.96,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.91,0.07,0.39,1.07,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC2,Surface Water,46.83937,-71.166825,2020,,,Unnamed_SPE_LCMS_MS,,,2.13,1.21,0.00,0.00,0.13,0.74,1.65,0.71,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.37,0.08,0.43,0.69,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC3,Surface Water,46.833885,-71.152614,2020,,,Unnamed_SPE_LCMS_MS,,,2.28,0.76,0.04,0.00,0.27,0.72,1.44,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.10,0.51,1.19,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP1,Surface Water,45.744983,-73.43195,2020,,,Unnamed_SPE_LCMS_MS,,,0.47,0.24,0.03,0.00,0.19,0.14,0.80,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.26,1.49,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP2,Surface Water,45.741667,-73.424033,2020,,,Unnamed_SPE_LCMS_MS,,,1.82,1.59,0.05,0.00,0.19,0.95,1.50,0.96,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.47,0.11,0.63,1.20,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP3,Surface Water,45.745028,-73.406417,2020,,,Unnamed_SPE_LCMS_MS,,,2.76,1.81,0.11,0.00,0.33,0.89,1.19,1.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.11,0.49,1.48,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP4,Surface Water,45.736033,-73.411833,2020,,,Unnamed_SPE_LCMS_MS,,,2.41,2.09,0.10,0.00,0.28,1.00,1.75,1.12,0.03,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,,1.50,0.14,0.66,2.29,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.81,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD1,Surface Water,46.72085,-71.4773,2020,,,Unnamed_SPE_LCMS_MS,,,2.41,1.61,0.12,0.00,0.35,0.67,1.11,0.76,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.12,0.06,0.46,0.76,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD2,Surface Water,46.71368,-71.471017,2020,,,Unnamed_SPE_LCMS_MS,,,2.08,1.51,0.11,0.00,0.25,0.72,1.64,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.51,0.08,0.45,1.17,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD3,Surface Water,46.705459,-71.461456,2020,,,Unnamed_SPE_LCMS_MS,,,1.96,1.61,0.04,0.00,0.13,0.77,1.44,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.64,0.08,0.59,1.25,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM1,Surface Water,46.073983,-73.088683,2020,,,Unnamed_SPE_LCMS_MS,,,1.66,1.33,0.00,0.00,0.23,0.64,1.03,0.49,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.63,0.04,0.47,0.59,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM2,Surface Water,46.067283,-73.07645,2020,,,Unnamed_SPE_LCMS_MS,,,2.05,1.82,0.20,0.00,0.23,0.88,1.17,0.86,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.20,0.13,0.45,1.55,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM3,Surface Water,46.06175,-73.0656,2020,,,Unnamed_SPE_LCMS_MS,,,2.53,1.79,0.07,0.00,0.30,1.00,1.72,0.94,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.11,0.57,1.30,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV1,Surface Water,46.172584,-72.964877,2020,,,Unnamed_SPE_LCMS_MS,,,1.36,0.93,0.05,0.00,0.00,0.47,0.88,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.64,0.03,0.34,0.77,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAVE2,Surface Water,46.13472,-72.952109,2020,,,Unnamed_SPE_LCMS_MS,,,1.76,1.46,0.04,0.00,0.20,0.71,1.61,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.70,0.07,0.46,0.60,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAVE3,Surface Water,46.160331,-72.949478,2020,,,Unnamed_SPE_LCMS_MS,,,2.54,2.38,0.14,0.00,0.15,0.98,1.53,1.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.08,0.12,0.68,0.54,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA1,Surface Water,46.57575,-72.098125,2020,,,Unnamed_SPE_LCMS_MS,,,1.43,1.17,0.06,0.00,0.22,0.48,0.87,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.42,0.05,0.32,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA2,Surface Water,46.569129,-72.098872,2020,,,Unnamed_SPE_LCMS_MS,,,1.97,1.63,0.07,0.00,0.21,0.73,1.18,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.38,0.08,0.54,1.94,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA3,Surface Water,46.562646,-72.10002,2020,,,Unnamed_SPE_LCMS_MS,,,2.33,1.95,0.04,0.00,0.32,0.88,1.67,0.98,0.03,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,,1.54,0.12,0.77,2.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STAN_1,Surface Water,47.715604,-69.924038,2020,,,Unnamed_SPE_LCMS_MS,,,1.45,1.02,0.13,0.00,0.13,0.42,0.82,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.70,0.06,0.27,1.12,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.16,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STAN_2,Surface Water,47.680059,-69.860108,2020,,,Unnamed_SPE_LCMS_MS,,,1.43,0.74,0.11,0.00,0.11,0.40,0.98,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.73,0.06,0.29,1.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.17,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STAN_3,Surface Water,47.66745,-69.787083,2020,,,Unnamed_SPE_LCMS_MS,,,1.21,0.58,0.07,0.00,0.10,0.37,0.81,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.56,0.07,0.27,0.86,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.37,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STIR1,Surface Water,47.55815,-70.18045,2020,,,Unnamed_SPE_LCMS_MS,,,0.96,0.55,0.05,0.00,0.00,0.28,0.45,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.29,0.02,0.20,0.39,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STIR2,Surface Water,47.5343,-70.1054,2020,,,Unnamed_SPE_LCMS_MS,,,0.77,0.46,0.00,0.00,0.00,0.31,0.60,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.46,0.03,0.20,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STIR3,Surface Water,47.504083,-70.021517,2020,,,Unnamed_SPE_LCMS_MS,,,0.45,0.00,0.00,0.00,0.00,0.22,0.37,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.40,0.04,0.16,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STJO_1,Surface Water,47.445917,-70.300367,2020,,,Unnamed_SPE_LCMS_MS,,,1.33,0.49,0.08,0.00,0.05,0.35,1.02,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.77,0.05,0.26,0.73,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STJO2,Surface Water,47.416383,-70.219967,2020,,,Unnamed_SPE_LCMS_MS,,,0.97,0.00,0.09,0.00,0.05,0.29,0.52,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,0.04,0.18,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STJO3,Surface Water,47.3906,-70.13095,2020,,,Unnamed_SPE_LCMS_MS,,,1.38,0.08,0.04,0.00,0.00,0.22,1.08,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.32,0.04,0.18,0.73,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM1,Surface Water,46.349237,-72.527838,2020,,,Unnamed_SPE_LCMS_MS,,,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.36,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM2,Surface Water,46.345992,-72.529377,2020,,,Unnamed_SPE_LCMS_MS,,,2.43,1.51,0.03,0.00,0.10,0.78,1.57,0.95,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.42,0.10,0.59,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM3,Surface Water,46.340461,-72.520947,2020,,,Unnamed_SPE_LCMS_MS,,,2.45,1.64,0.00,0.00,0.06,0.88,1.50,0.94,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.61,0.10,0.69,1.04,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM4,Surface Water,46.336517,-72.518583,2020,,,Unnamed_SPE_LCMS_MS,,,1.83,1.58,0.07,0.00,0.07,0.81,1.59,0.83,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.55,0.11,0.67,0.92,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCL_1,Surface Water,45.588744,-73.497937,2020,,,Unnamed_SPE_LCMS_MS,,,3.21,2.44,0.11,0.04,0.38,1.19,2.28,1.34,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.11,0.20,0.91,2.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.10,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM_1,Surface Water,45.7048,-73.478117,2020,,,Unnamed_SPE_LCMS_MS,,,0.47,0.32,0.00,0.00,0.17,0.08,0.32,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,0.00,0.09,0.24,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM_1-5,Surface Water,45.6665,-73.46425,2020,,,Unnamed_SPE_LCMS_MS,,,4.19,2.77,0.15,0.09,0.45,1.19,4.06,1.52,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.59,0.14,1.00,3.51,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.05,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM_2,Surface Water,45.712764,-73.444502,2020,,,Unnamed_SPE_LCMS_MS,,,3.72,2.14,0.13,0.04,0.37,1.15,2.10,1.44,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.78,0.15,0.63,2.52,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM_2_5,Surface Water,45.678933,-73.456733,2020,,,Unnamed_SPE_LCMS_MS,,,2.10,1.60,0.06,0.00,0.24,0.71,1.90,0.69,0.02,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,,1.44,0.08,0.45,1.77,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM_3,Surface Water,45.703167,-73.444867,2020,,,Unnamed_SPE_LCMS_MS,,,2.95,2.05,0.11,0.00,0.22,1.13,1.73,1.13,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.75,0.19,0.74,2.54,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.08,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.85,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA2,Surface Water,45.996392,-73.183399,2020,,,Unnamed_SPE_LCMS_MS,,,2.08,2.01,0.05,0.00,0.17,0.73,1.31,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.69,0.10,0.49,1.15,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA3,Surface Water,45.995608,-73.17874,2020,,,Unnamed_SPE_LCMS_MS,,,2.78,1.31,0.00,0.00,0.05,1.00,1.97,0.81,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.13,0.64,1.82,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Belle Rivire Mirabel BR1,Surface Water,45.6799,-74.0613,2021,,,Unnamed_SPE_LCMS_MS,,,0.37,0.19,0.00,0.00,0.00,0.76,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.41,0.00,0.00,1.86,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Belle Rivire Mirabel BR2,Surface Water,45.658472,-74.085532,2021,,,Unnamed_SPE_LCMS_MS,,,39.00,5.28,2.61,0.00,0.51,46.16,24.16,15.05,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20.57,5.79,5.07,9.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Belle Rivire Mirabel BR3,Surface Water,45.649902,-74.093588,2021,,,Unnamed_SPE_LCMS_MS,,,142.98,12.00,14.59,0.45,2.46,80.77,75.93,38.60,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,88.43,10.42,7.80,23.14,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Belle Rivire Mirabel BR4,Surface Water,45.6315,-74.0918,2021,,,Unnamed_SPE_LCMS_MS,,,79.04,10.16,3.01,0.51,1.93,44.21,43.50,19.36,2.25,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,,60.27,5.44,5.12,16.22,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Canal Lachine Montreal,Surface Water,45.47754,-73.57649,2021,,,Unnamed_SPE_LCMS_MS,,,0.92,0.49,0.00,0.04,0.16,0.10,0.69,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.56,0.00,0.20,1.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Coule Grou Montreal,Surface Water,45.6983,-73.5039,2021,,,Unnamed_SPE_LCMS_MS,,,4.33,4.92,0.03,0.03,0.29,0.28,5.61,1.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.50,0.13,1.44,4.64,0.00,0.00,,,,,,,0.00,0.00,0.09,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Cours deau du 9e rang Alma,Surface Water,48.55203,-71.65548,2021,,,Unnamed_SPE_LCMS_MS,,,0.60,0.37,0.03,0.00,0.08,0.14,1.06,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.64,0.00,0.28,1.48,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Fleuve Saguenay La Baie,Surface Water,48.3214,-70.8441,2021,,,Unnamed_SPE_LCMS_MS,,,0.19,0.17,0.00,0.00,0.12,0.03,0.31,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,0.00,0.05,0.25,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire la Scie Levis,Surface Water,46.7678,-71.199,2021,,,Unnamed_SPE_LCMS_MS,,,3.53,1.10,0.05,0.05,0.18,1.78,2.32,1.21,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.64,0.26,0.47,1.51,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
