Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,LSPA1,Surface Water,46.267261,-72.718877,2018,,,Unnamed_SPE_LCMS_MS,,,2.45,1.57,0.06,0.05,0.24,0.68,1.26,0.89,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.16,0.11,0.52,2.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA2,Surface Water,46.263524,-72.708745,2018,,,Unnamed_SPE_LCMS_MS,,,2.53,1.62,0.09,0.04,0.22,0.64,1.34,0.86,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.20,0.10,0.55,2.02,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA3,Surface Water,46.256587,-72.694571,2018,,,Unnamed_SPE_LCMS_MS,,,2.10,1.68,0.08,0.05,0.25,0.44,1.39,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.31,0.08,0.65,2.21,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM1,Surface Water,46.22665,-72.854883,2018,,,Unnamed_SPE_LCMS_MS,,,2.24,1.59,0.06,0.04,0.25,0.58,1.15,0.78,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.09,0.49,2.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM2,Surface Water,46.204067,-72.824783,2018,,,Unnamed_SPE_LCMS_MS,,,2.64,1.84,0.12,0.05,0.28,0.70,1.38,0.87,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.21,0.11,0.53,2.31,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM3,Surface Water,46.183033,-72.799467,2018,,,Unnamed_SPE_LCMS_MS,,,2.81,2.08,0.16,0.07,0.34,0.76,1.43,0.92,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.11,0.54,2.32,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ONT1,Surface Water,44.1941,-76.577883,2018,,,Unnamed_SPE_LCMS_MS,,,2.52,1.78,0.19,0.00,0.19,0.92,1.50,0.82,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.28,0.16,0.49,2.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ONT2,Surface Water,44.237683,-76.39835,2018,,,Unnamed_SPE_LCMS_MS,,,2.64,2.08,0.11,0.07,0.32,0.65,1.43,0.84,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.22,0.11,0.45,2.53,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP1,Surface Water,45.744983,-73.43195,2018,,,Unnamed_SPE_LCMS_MS,,,1.26,0.98,0.00,0.06,0.25,0.33,0.86,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.85,0.05,0.38,1.67,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP1v5,Surface Water,45.8221,-73.359961,2018,,,Unnamed_SPE_LCMS_MS,,,1.99,1.43,0.07,0.06,0.27,0.48,1.00,0.79,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.82,0.08,0.39,1.92,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
