Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Scott_et_al_2009,S. Sask. R. u,Surface Water,50.0425,-110.713889,2005,,,Unnamed_SPE_LCMS_MS,,1.32,0.482,,0.099,0.122,0.348,0.427,0.464,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Bow R.,Surface Water,51.098611,-114.226111,2007,,,Unnamed_SPE_LCMS_MS,,0.072,0.044,,0.005,0.023,0.047,0.005,0.016,<0.002,,,,,,,,,,,,0.005,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Beaver R.,Surface Water,54.355278,-110.216667,2007,,,Unnamed_SPE_LCMS_MS,,2.97,0.219,,<0.006,0.099,1.589,0.556,0.514,0.075,,,,,,,,,,,,0.165,,,,,,,,,,,<0.007,,,,,,,,,0.011,,,,<0.008,0.141,,,,,,,
Scott_et_al_2009,Athabasca R.,Surface Water,53.379167,-117.693611,2007,,,Unnamed_SPE_LCMS_MS,,<0.004,<0.024,,<0.006,<0.008,<0.008,<0.012,0.033,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Cheakamus R. u,Surface Water,49.791111,-123.127222,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.526,,0.043,0.254,0.015,<0.012,0.211,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,0.035,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Cheakamus R. d,Surface Water,49.693611,-123.790833,2005,,,Unnamed_SPE_LCMS_MS,,0.135,0.484,,<0.001,0.254,0.065,<0.012,0.469,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Similkameen R. u,Surface Water,49.061667,-120.789167,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.117,,<0.006,0.209,<0.008,<0.012,0.234,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Similkameen R. d,Surface Water,49.024167,-120.545833,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.125,,0.019,0.029,<0.008,0.201,0.556,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Yukon R. u,Surface Water,60.793333,-135.133333,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.169,,0.009,1.82,<0.008,0.138,0.174,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.004,,,,,,,
Scott_et_al_2009,Yukon R. d,Surface Water,60.629167,-135.061944,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.071,,<0.006,1.54,<0.008,0.049,0.103,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Okanagan R.,Surface Water,49.078056,-119.516111,2005,,,Unnamed_SPE_LCMS_MS,,1.514,0.85,,0.041,0.117,1.024,0.855,1.66,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.016,,,,,,,
Scott_et_al_2009,Salmon R.,Surface Water,50.698333,-119.313333,2005,,,Unnamed_SPE_LCMS_MS,,0.172,0.108,,0.027,0.068,0.009,<0.012,0.133,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,ZigZag stream,Surface Water,49.819167,-122.953056,2005,,,Unnamed_SPE_LCMS_MS,,0.01,0.28,,,0.37,<0.090,0.09,0.31,<0.01,,,,,,,,,,,,0.01,,,,,,,,,,,0.05,,,,,,,,,0.01,,,,0.01,<0.01,,,,,,,
Scott_et_al_2009,Rampart Pond,Surface Water,49.818611,-122.945556,2005,,,Unnamed_SPE_LCMS_MS,,0.08,0.43,,,0.6,<0.090,0.18,0.5,<0.01,,,,,,,,,,,,0.02,,,,,,,,,,,0.08,,,,,,,,,<0.01,,,,0.01,<0.01,,,,,,,
Scott_et_al_2009,Lava Glacier,Surface Water,49.825,-122.959444,2005,,,Unnamed_SPE_LCMS_MS,,0.08,0.11,,,0.15,<0.090,0.05,0.33,<0.01,,,,,,,,,,,,0.01,,,,,,,,,,,0.04,,,,,,,,,<0.01,,,,<0.001,<0.01,,,,,,,
Scott_et_al_2009,Lava Pond,Surface Water,49.825,-122.959444,2005,,,Unnamed_SPE_LCMS_MS,,0.12,0.48,,,0.95,0.1,0.18,0.38,<0.01,,,,,,,,,,,,0.03,,,,,,,,,,,0.61,,,,,,,,,<0.01,,,,0.01,<0.01,,,,,,,
Scott_et_al_2009,Ring Ck.,Surface Water,49.801944,-122.996944,2005,,,Unnamed_SPE_LCMS_MS,,0.08,0.33,,,0.25,<0.090,0.13,0.32,<0.01,,,,,,,,,,,,0.01,,,,,,,,,,,0.05,,,,,,,,,0,,,,0.02,<0.01,,,,,,,
