#,Country,City,Name of facility,Lat,Lon,Currently operating?,Mesaurement data - peer-reviewed? *(surface water_ groundwater_ air_ dust_ soil_ sediment_ plants_ animals_ humans),REMOVE FOR PUBLIC Other measurement data? Grey-literature and/or drinking water?,Nearby PFAS production?,Data included Table S3,Comment regarding nearby PFAS production (10 km radius),Company website information,Evidence of production Ref 2,Evidence of production Ref 3,Evidence of production Ref 4,Refs with measurement data (see Table S4)
33,China,Changshu_ Jiangsu,Arkema – Changshu,31.804,120.788,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.arkema.cn/en/arkema-in-china/history/,https://www.arkema.cn/en/arkema-in-china/plant-locations/arkema-changshu-site/,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
34,China,Changshu_ Jiangsu,Daikin Fluorochemicals China,31.782,120.814,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.daikinchemicals.com/company.html,https://daikin-america.com/blog/2013/09/18/daikin-opens-new-factory-in-china/,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
35,China,Changshu_ Jiangsu,Syensqo Specialty Polymers (Changshu) (Solvay),31.814,120.806,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.syensqo.com/en/innovation/pfas,https://www.solvay.com/en/news/solvay-doubles-pvdf-capacity-china-ahead-schedule-meet-growing-demand-ev-batteries,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.solvay.com/sites/g/files/srpend221/files/2019-01/Solvay-Specialty-Polymers-Changshu-ISO-9001-2015_EN_0_0.pdf&ved=2ahUKEwikzaTUseeOAxUT1QIHHU03BE0QFnoECB4QAQ&usg=AOvVaw3dk_1QyXHjMuNDsW6Pbwve,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
36,China,Changshu_ Jiangsu,Kureha (Changshu) Fluoropolymers Co._ Ltd.,31.787,120.808,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.kureha.co.jp/en/business/material/kfpolymer.html,https://www.bsigroup.com/en-CZ/products-and-services/assessment-and-certification/validation-and-verification/client-directory-profile/KUREHA-0047526331-000,https://www.specialchem.com/plastics/news/kureha-discontinues-pvdf-facility-expansion-in-china-000233640,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
37,China,Changshu_ Jiangsu,Changshu 3F (Shanghai 3F),31.811,120.798,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.sh3f.com/about?tab=cl5,,,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
38,China,Changshu_ Jiangsu,Changshu Xinhua Chemical Co._ Ltd.,31.784,120.806,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,(can't find company website),https://www.echemi.com/shop-us20180832100010790/index.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
39,China,Changshu_ Jiangsu,Chemours Changshu Works,31.809,120.801,Yes,Yes,,Yes,No,Located in Jiangsu Hi-Tech Fluorine Chemistry Industrial Park_ which hosts multiple PFAS and fluoropolymer producers (e.g._ Arkema_ 3F_ Sinochem Lantian). Several potential PFAS sources nearby; attribution to one facility is uncertain.,https://www.chemours.com/en/about-chemours/global-reach,https://www.dqsglobal.com/en/customer-database/the-chemours-changshu-fluoro-technology-co._-ltd#,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
40,China,Taizhou_ Jiangsu,Jiangsu Meilan Chemical Group Corporation,32.494,119.887,Yes,No,nothing found,,No,,http://www.meilanchem.com/wap_about_en.html,https://link.springer.com/article/10.1186/s12302-020-00425-3/tables/1,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,
41,China,Zigong_ Sichuan,Chenguang Research Institute of Chemical Industry,29.164,104.959,Yes,No,nothing found,,No,,http://www.chenguang-chemi.com/,http://www.chemourscg.com/global/list10073,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,
42,China,Fuxin_ Liaoning,Fuxin Hengton Fluorine Chemicals Co._ Ltd.,41.949,121.589,Yes,Yes,,Yes,No,Located in the Fluorine Industry Development Zone_ which hosts multiple fluorochemical producers (e.g._ Fuxin Hengtong_ Ruifeng_ Chenguang). Several facilities likely produce small molecule PFAS or monomers; attribution to one site is uncertain. See e.g.: https://pubs.acs.org/doi/10.1021/es102610x,https://htfluoro.lookchem.com/About.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,,Bao2011_ Bao2022_ Chen2018_ Joerss2020_ Wang2015
43,China,Quzhou_ Zhejiang,Zhejiang Juhua Co._ Ltd.,28.9,118.886,Yes,No,nothing found,,No,,(can't find company website),https://www.fluorined-chemicals.com/news/juhua-group-s-new-polytetrafluoroethylene-ptf-25325912.html,https://www.echemi.com/shop-us20180832100010547/index.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
44,China,Jinhua_ Zhejiang,Jinhua Yonghe Fluorochemical Co._ Ltd.,29.068,119.374,Yes,No,nothing found,,No,,https://www.yonghe-chemical.com/factory/jin-hua-yonghe/,https://www.chinaplasonline.com/eMarketplace/exhibitorinfo/eng/JINHUA_YONGHE_FLUOROCHEMICAL_CO_LTD?compid=1046255&Tab=company,,,
45,China,Hangzhou_ Zhejiang,Sinochem Lantain Co.,30.155,120.905,Yes,No,nothing found,,No,,http://en.sinochemlt.com/31988.html,https://www.usitc.gov/press_room/news_release/2025/er0214_66540.htm,https://www.chemball.com/factory/in26vq/,,
46,China,Shaoxing_ Zhejiang,Zhejiang Fluorine Chemical New Material Co._ Ltd.,30.145,120.846,Yes,No,nothing found,,No,,https://www.flurine.com/comm03/Factory.htm,https://www.usitc.gov/press_room/news_release/2025/er0214_66540.htm,,,
